"word","count","nextWord","phrase"
"of the",17055,"the","of"
"in the",15475,"the","in"
"to the",8097,"the","to"
"on the",7491,"the","on"
"for the",6928,"the","for"
"to be",6182,"be","to"
"at the",5169,"the","at"
"and the",5079,"the","and"
"in a",4502,"a","in"
"with the",4258,"the","with"
"it was",3980,"was","it"
"is a",3954,"a","is"
"i was",3685,"was","i"
"i have",3565,"have","i"
"it is",3548,"is","it"
"and i",3517,"i","and"
"from the",3425,"the","from"
"for a",3321,"a","for"
"of a",3211,"a","of"
"with a",3178,"a","with"
"i am",3051,"am","i"
"will be",2917,"be","will"
"is the",2796,"the","is"
"one of",2775,"of","one"
"if you",2681,"you","if"
"going to",2676,"to","going"
"as a",2640,"a","as"
"have a",2545,"a","have"
"to get",2521,"get","to"
"that the",2488,"the","that"
"that i",2444,"i","that"
"this is",2430,"is","this"
"by the",2427,"the","by"
"to do",2300,"do","to"
"have to",2246,"to","have"
"and a",2240,"a","and"
"was a",2234,"a","was"
"the first",2222,"first","the"
"want to",2204,"to","want"
"i think",2140,"think","i"
"out of",2112,"of","out"
"but i",2052,"i","but"
"i don't",2049,"don't","i"
"to a",2033,"a","to"
"have been",1990,"been","have"
"on a",1978,"a","on"
"all the",1930,"the","all"
"to make",1927,"make","to"
"to see",1914,"see","to"
"the same",1890,"same","the"
"you can",1883,"can","you"
"a few",1883,"few","a"
"i had",1864,"had","i"
"of my",1815,"my","of"
"a lot",1805,"lot","a"
"a little",1783,"little","a"
"he was",1772,"was","he"
"has been",1717,"been","has"
"would be",1706,"be","would"
"when i",1706,"i","when"
"be a",1690,"a","be"
"as the",1688,"the","as"
"in my",1660,"my","in"
"about the",1608,"the","about"
"need to",1605,"to","need"
"into the",1598,"the","into"
"there is",1587,"is","there"
"more than",1575,"than","more"
"i love",1568,"love","i"
"you are",1548,"are","you"
"they are",1531,"are","they"
"to have",1521,"have","to"
"you have",1507,"have","you"
"i can",1482,"can","i"
"we are",1482,"are","we"
"there are",1476,"are","there"
"the best",1438,"best","the"
"to go",1427,"go","to"
"that is",1419,"is","that"
"i know",1414,"know","i"
"so i",1408,"i","so"
"had a",1407,"a","had"
"is not",1394,"not","is"
"over the",1384,"the","over"
"a good",1358,"good","a"
"and then",1355,"then","and"
"a great",1318,"great","a"
"i will",1300,"will","i"
"the most",1282,"most","the"
"he said",1268,"said","he"
"part of",1261,"of","part"
"we have",1256,"have","we"
"i would",1239,"would","i"
"was the",1223,"the","was"
"all of",1222,"of","all"
"the world",1214,"world","the"
"a new",1206,"new","a"
"as well",1205,"well","as"
"but the",1200,"the","but"
"i just",1194,"just","i"
"some of",1186,"of","some"
"able to",1186,"to","able"
"lot of",1172,"of","lot"
"at least",1168,"least","at"
"of his",1158,"his","of"
"the new",1146,"new","the"
"the way",1123,"way","the"
"the other",1118,"other","the"
"like a",1112,"a","like"
"and it",1110,"it","and"
"back to",1109,"to","back"
"thank you",1106,"you","thank"
"so much",1104,"much","so"
"trying to",1103,"to","trying"
"can be",1086,"be","can"
"in this",1079,"this","in"
"of this",1069,"this","of"
"if i",1060,"i","if"
"to me",1059,"me","to"
"the last",1058,"last","the"
"for me",1057,"me","for"
"the time",1052,"time","the"
"do you",1045,"you","do"
"to take",1040,"take","to"
"as i",1038,"i","as"
"it's a",1027,"a","it's"
"at a",1022,"a","at"
"is that",1012,"that","is"
"up to",1012,"to","up"
"thanks for",1006,"for","thanks"
"but it",1002,"it","but"
"on my",993,"my","on"
"the next",991,"next","the"
"that he",989,"he","that"
"i could",964,"could","i"
"kind of",960,"of","kind"
"you know",954,"know","you"
"had to",952,"to","had"
"time to",945,"to","time"
"when the",945,"the","when"
"he is",943,"is","he"
"they were",939,"were","they"
"of course",937,"course","of"
"be the",925,"the","be"
"what i",923,"i","what"
"i can't",913,"can't","i"
"in his",911,"his","in"
"the end",908,"end","the"
"way to",905,"to","way"
"she was",904,"was","she"
"and that",900,"that","and"
"a bit",895,"bit","a"
"me to",887,"to","me"
"that was",882,"was","that"
"from a",880,"a","from"
"that you",879,"you","that"
"to my",872,"my","to"
"that it",871,"it","that"
"to say",868,"say","to"
"that we",868,"we","that"
"of our",857,"our","of"
"when you",855,"you","when"
"through the",854,"the","through"
"which is",853,"is","which"
"wanted to",853,"to","wanted"
"the only",844,"only","the"
"i'm not",840,"not","i'm"
"i want",836,"want","i"
"we were",835,"were","we"
"said the",832,"the","said"
"would have",828,"have","would"
"the day",822,"day","the"
"go to",819,"to","go"
"of them",818,"them","of"
"according to",816,"to","according"
"has a",815,"a","has"
"that they",806,"they","that"
"should be",803,"be","should"
"and we",803,"we","and"
"there was",794,"was","there"
"of their",788,"their","of"
"this year",787,"year","this"
"like the",785,"the","like"
"i got",783,"got","i"
"are you",777,"you","are"
"i didn't",776,"didn't","i"
"with my",774,"my","with"
"a year",771,"year","a"
"like to",766,"to","like"
"into a",765,"a","into"
"it would",765,"would","it"
"i do",762,"do","i"
"have the",760,"the","have"
"right now",746,"now","right"
"how to",741,"to","how"
"to find",741,"find","to"
"end of",736,"of","end"
"up and",733,"and","up"
"year old",732,"old","year"
"by a",731,"a","by"
"are the",726,"the","are"
"i did",725,"did","i"
"i thought",724,"thought","i"
"during the",723,"the","during"
"is to",721,"to","is"
"out the",716,"the","out"
"up the",713,"the","up"
"not a",713,"a","not"
"after the",712,"the","after"
"it will",710,"will","it"
"the city",704,"city","the"
"had been",703,"been","had"
"most of",702,"of","most"
"get a",700,"a","get"
"such as",700,"as","such"
"it to",699,"to","it"
"to work",699,"work","to"
"and his",696,"his","and"
"do not",695,"not","do"
"they have",692,"have","they"
"to keep",692,"keep","to"
"of it",690,"it","of"
"new york",684,"york","new"
"up with",681,"with","up"
"a couple",678,"couple","a"
"a very",677,"very","a"
"when he",675,"he","when"
"off the",671,"the","off"
"we can",671,"can","we"
"because i",671,"i","because"
"such a",670,"a","such"
"it and",669,"and","it"
"for my",669,"my","for"
"to help",668,"help","to"
"and he",666,"he","and"
"of your",665,"your","of"
"did not",662,"not","did"
"in and",657,"and","in"
"i need",653,"need","i"
"last year",653,"year","last"
"because of",652,"of","because"
"this week",651,"week","this"
"the state",649,"state","the"
"don't know",647,"know","don't"
"and they",644,"they","and"
"not to",642,"to","not"
"i hope",641,"hope","i"
"in their",641,"their","in"
"said he",638,"he","said"
"he has",636,"has","he"
"and you",632,"you","and"
"it's not",632,"not","it's"
"are not",630,"not","are"
"the past",624,"past","the"
"well as",624,"as","well"
"the right",623,"right","the"
"of all",621,"all","of"
