"word","count","nextWord","phrase"
"at the end of the",130,"the","at the end of"
"for the rest of the",59,"the","for the rest of"
"for the first time in",56,"in","for the first time"
"in the middle of the",54,"the","in the middle of"
"by the end of the",48,"the","by the end of"
"there are a lot of",47,"of","there are a lot"
"the end of the day",44,"day","the end of the"
"is one of the most",42,"most","is one of the"
"no no no no no",38,"no","no no no no"
"it's going to be a",37,"a","it's going to be"
"the other side of the",36,"the","the other side of"
"thank you so much for",35,"for","thank you so much"
"to be a part of",33,"of","to be a part"
"is going to be a",31,"a","is going to be"
"for the first time since",31,"since","for the first time"
"on the other side of",30,"of","on the other side"
"at the top of the",29,"the","at the top of"
"i thought it would be",28,"be","i thought it would"
"the caprera hotel venice italy",28,"italy","the caprera hotel venice"
"is one of the best",26,"best","is one of the"
"if you would like to",26,"to","if you would like"
"has nothing to do with",26,"with","has nothing to do"
"this is one of the",25,"the","this is one of"
"this is going to be",25,"be","this is going to"
"the end of the year",24,"year","the end of the"
"the end of the month",23,"month","the end of the"
"at the beginning of the",23,"the","at the beginning of"
"and the rest of the",23,"the","and the rest of"
"i can't wait to see",23,"see","i can't wait to"
"in the middle of a",22,"a","in the middle of"
"i am looking forward to",22,"to","i am looking forward"
"for those of you who",22,"who","for those of you"
"at the time of the",21,"the","at the time of"
"to find a way to",21,"to","to find a way"
"at the end of this",20,"this","at the end of"
"the rest of the world",20,"world","the rest of the"
"can't wait to see you",20,"you","can't wait to see"
"this is the first time",20,"time","this is the first"
"one of the most important",20,"important","one of the most"
"the rest of the day",20,"day","the rest of the"
"is one of my favorite",19,"favorite","is one of my"
"it was one of the",19,"the","it was one of"
"a couple of years ago",19,"ago","a couple of years"
"let me know if you",18,"you","let me know if"
"i love you so much",18,"much","i love you so"
"don't know what to do",18,"do","don't know what to"
"in the bottom of the",18,"the","in the bottom of"
"if you don't have a",18,"a","if you don't have"
"don't get me wrong i",18,"i","don't get me wrong"
"all you have to do",17,"do","all you have to"
"but at the same time",17,"time","but at the same"
"sex sex sex sex sex",17,"sex","sex sex sex sex"
"at the bottom of the",16,"the","at the bottom of"
"to the top of the",16,"the","to the top of"
"you have to do is",16,"is","you have to do"
"when i was a kid",16,"kid","when i was a"
"a couple of weeks ago",16,"ago","a couple of weeks"
"president of the united states",16,"states","president of the united"
"in the form of a",16,"a","in the form of"
"when it comes to the",16,"the","when it comes to"
"incorporated in item c above",16,"above","incorporated in item c"
"the middle of the night",15,"night","the middle of the"
"there is a lot of",15,"of","there is a lot"
"to get out of the",15,"the","to get out of"
"to be one of the",15,"the","to be one of"
"in the united states and",15,"and","in the united states"
"an hour and a half",15,"half","an hour and a"
"i don't want to be",15,"be","i don't want to"
"it was going to be",15,"be","it was going to"
"i don't know if i",15,"i","i don't know if"
"as far as i can",15,"can","as far as i"
"turned out to be a",15,"a","turned out to be"
"and at the same time",15,"time","and at the same"
"the end of the world",15,"world","the end of the"
"take a look at the",15,"the","take a look at"
"i think i'm going to",14,"to","i think i'm going"
"was going to be a",14,"a","was going to be"
"at the same time i",14,"i","at the same time"
"at the start of the",14,"the","at the start of"
"i had a lot of",14,"of","i had a lot"
"if you have any questions",14,"questions","if you have any"
"it seems to me that",14,"that","it seems to me"
"can't wait to see what",14,"what","can't wait to see"
"i don't know how to",14,"to","i don't know how"
"to come up with a",14,"a","to come up with"
"the first half of the",14,"the","the first half of"
"let me know what you",14,"you","let me know what"
"all the way to the",14,"the","all the way to"
"chicago illinois incorporated in item",14,"item","chicago illinois incorporated in"
"i have to say i",14,"i","i have to say"
"thank you for the rt",13,"rt","thank you for the"
"for a chance to win",13,"win","for a chance to"
"most of the time i",13,"i","most of the time"
"for the first time and",13,"and","for the first time"
"i don't know about you",13,"you","i don't know about"
"for the first time this",13,"this","for the first time"
"hope you have a great",13,"great","hope you have a"
"i don't know what to",13,"to","i don't know what"
"you have no idea how",13,"how","you have no idea"
"don't have to worry about",13,"about","don't have to worry"
"spent a lot of time",13,"time","spent a lot of"
"and i have to say",13,"say","and i have to"
"on the side of the",13,"the","on the side of"
"the end of the week",13,"week","the end of the"
"in the back of the",13,"the","in the back of"
"in the center of the",13,"the","in the center of"
"want to be able to",13,"to","want to be able"
"a year and a half",13,"half","a year and a"
"there was a lot of",13,"of","there was a lot"
"on the right side of",13,"of","on the right side"
"the right side of the",13,"the","the right side of"
"there is no such thing",13,"thing","there is no such"
"if you are interested in",13,"in","if you are interested"
"hope you all had a",13,"a","hope you all had"
"it was one of those",13,"those","it was one of"
"i have to say that",13,"that","i have to say"
"nothing to do with the",13,"the","nothing to do with"
"over the course of the",13,"the","over the course of"
