"word","count","nextWord","phrase"
"the end of the",297,"the","the end of"
"at the end of",275,"of","at the end"
"the rest of the",246,"the","the rest of"
"for the first time",234,"time","for the first"
"at the same time",210,"time","at the same"
"one of the most",172,"most","one of the"
"when it comes to",164,"to","when it comes"
"to be able to",162,"to","to be able"
"in the middle of",158,"of","in the middle"
"is one of the",151,"the","is one of"
"if you want to",138,"to","if you want"
"is going to be",138,"be","is going to"
"thanks for the follow",122,"follow","thanks for the"
"i don't want to",121,"to","i don't want"
"going to be a",112,"a","going to be"
"one of the best",112,"best","one of the"
"i am going to",107,"to","i am going"
"on the other hand",107,"hand","on the other"
"the middle of the",103,"the","the middle of"
"in the united states",97,"states","in the united"
"i would like to",97,"to","i would like"
"the top of the",94,"the","the top of"
"i was going to",94,"to","i was going"
"a bit of a",87,"a","a bit of"
"was one of the",86,"the","was one of"
"one of my favorite",85,"favorite","one of my"
"by the end of",84,"of","by the end"
"thank you for the",82,"the","thank you for"
"for the rest of",81,"of","for the rest"
"in the first place",81,"place","in the first"
"the back of the",79,"the","the back of"
"i can't wait to",78,"to","i can't wait"
"i want to be",77,"be","i want to"
"the bottom of the",77,"the","the bottom of"
"can't wait to see",76,"see","can't wait to"
"it's going to be",76,"be","it's going to"
"to go to the",75,"the","to go to"
"as well as the",74,"the","as well as"
"i was able to",74,"to","i was able"
"i don't know if",73,"if","i don't know"
"a lot of people",71,"people","a lot of"
"going to have to",70,"to","going to have"
"in front of the",69,"the","in front of"
"said in a statement",67,"statement","said in a"
"i don't know what",67,"what","i don't know"
"i would love to",66,"to","i would love"
"you don't have to",66,"to","you don't have"
"i thought it was",66,"was","i thought it"
"will be able to",66,"to","will be able"
"have a lot of",65,"of","have a lot"
"to get out of",64,"of","to get out"
"i wish i could",64,"could","i wish i"
"as much as i",64,"i","as much as"
"for a long time",63,"time","for a long"
"thank you so much",63,"much","thank you so"
"i have to say",63,"say","i have to"
"as a result of",62,"of","as a result"
"was going to be",61,"be","was going to"
"at the university of",61,"of","at the university"
"i just want to",60,"to","i just want"
"the first time in",60,"in","the first time"
"i'm not going to",59,"to","i'm not going"
"a little bit of",57,"of","a little bit"
"the fact that the",57,"the","the fact that"
