"word","count","nextWord","phrase"
"one of the",1345,"the","one of"
"a lot of",1138,"of","a lot"
"to be a",646,"a","to be"
"out of the",607,"the","out of"
"going to be",585,"be","going to"
"the end of",562,"of","the end"
"it was a",556,"a","it was"
"as well as",554,"as","as well"
"i want to",544,"to","i want"
"some of the",535,"the","some of"
"be able to",526,"to","be able"
"thanks for the",487,"the","thanks for"
"a couple of",466,"of","a couple"
"part of the",459,"the","part of"
"the rest of",451,"of","the rest"
"i have a",442,"a","i have"
"i have to",436,"to","i have"
"this is a",406,"a","this is"
"the first time",398,"time","the first"
"i don't know",396,"know","i don't"
"there is a",392,"a","there is"
"the fact that",384,"that","the fact"
"it is a",362,"a","it is"
"this is the",354,"the","this is"
"you have to",352,"to","you have"
"is going to",351,"to","is going"
"end of the",349,"the","end of"
"it would be",331,"be","it would"
"is one of",326,"of","is one"
"i had to",326,"to","i had"
"all of the",325,"the","all of"
"i need to",322,"to","i need"
"one of my",321,"my","one of"
"at the end",321,"end","at the"
"in the world",319,"world","in the"
"i'm going to",317,"to","i'm going"
"most of the",314,"the","most of"
"in order to",311,"to","in order"
"for the first",308,"first","for the"
"looking forward to",307,"to","looking forward"
"i have been",307,"been","i have"
"you want to",307,"to","you want"
"i had a",297,"a","i had"
"there is no",296,"no","there is"
"back to the",295,"the","back to"
"in front of",293,"of","in front"
"to have a",293,"a","to have"
"thank you for",292,"for","thank you"
"to do with",281,"with","to do"
"to go to",281,"to","to go"
"to be the",278,"the","to be"
"as much as",277,"as","as much"
"rest of the",275,"the","rest of"
"in the first",273,"first","in the"
"to make a",270,"a","to make"
"if you are",269,"are","if you"
"when i was",268,"was","when i"
"i wanted to",268,"to","i wanted"
"was going to",265,"to","was going"
"according to the",264,"the","according to"
"i don't think",263,"think","i don't"
"if you have",261,"have","if you"
"to see the",261,"the","to see"
"the united states",261,"states","the united"
"of the year",257,"year","of the"
"i think i",254,"i","i think"
"it was the",254,"the","it was"
"a bit of",254,"of","a bit"
"i am not",253,"not","i am"
"i love you",246,"you","i love"
"at the same",246,"same","at the"
"would like to",245,"to","would like"
"the same time",243,"time","the same"
"don't want to",239,"to","don't want"
"you have a",239,"a","you have"
"it will be",237,"be","it will"
"in the past",234,"past","in the"
"i will be",234,"be","i will"
"of the day",234,"day","of the"
"that i have",232,"have","that i"
"want to be",231,"be","want to"
"are going to",228,"to","are going"
"of the most",227,"most","of the"
"at the time",224,"time","at the"
"and it was",220,"was","and it"
"if you want",220,"want","if you"
"there was a",219,"a","there was"
"can't wait to",217,"to","can't wait"
"we need to",216,"to","we need"
"you need to",215,"to","you need"
"it is the",212,"the","it is"
"in the middle",208,"middle","in the"
"one of those",208,"those","one of"
"have to be",203,"be","have to"
"a little bit",202,"bit","a little"
"it is not",201,"not","it is"
"need to be",201,"be","need to"
"that it was",200,"was","that it"
"not going to",200,"to","not going"
"to make it",198,"it","to make"
"and i was",196,"was","and i"
"as long as",193,"as","as long"
"to make sure",192,"sure","to make"
"of the world",191,"world","of the"
"and i have",190,"have","and i"
"would be a",190,"a","would be"
"i feel like",187,"like","i feel"
"a year old",187,"old","a year"
"to get the",186,"the","to get"
"is not a",185,"a","is not"
"when it comes",185,"comes","when it"
"to be in",182,"in","to be"
"the middle of",182,"of","the middle"
"all the time",181,"time","all the"
"to make the",181,"the","to make"
"i decided to",181,"to","i decided"
"there will be",179,"be","there will"
